4.7051 	ERROR 	Error in handleLineEditChange: inputFieldName=participant, type=<class 'int'>, value=, error=invalid literal for int() with base 10: ''
6.7453 	WARNING 	User requested fullscreen with size [1512  982], but screen is actually [1470, 956]. Using actual size
7.4653 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe0f0eef730>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe0f0eef6d0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe0f0eef550>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fe0e9a0edf0>, multiSample=False, name='window1', numSamples=2, pos=[367.5, 239.0], screen=0, size=array([2940, 1912]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.4656 	EXP 	window1: mouseVisible = True
7.4656 	EXP 	window1: backgroundImage = ''
7.4656 	EXP 	window1: backgroundFit = 'none'
7.4670 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.4670 	EXP 	window1: recordFrameIntervals = False
7.6312 	EXP 	window1: recordFrameIntervals = True
7.8160 	EXP 	Screen (0) actual frame rate measured at 59.51Hz
7.8160 	EXP 	window1: recordFrameIntervals = False
7.8168 	EXP 	window1: mouseVisible = False
9.7381 	EXP 	186c experiment: status = STARTED
9.7394 	EXP 	window1: mouseVisible = True
9.7821 	EXP 	Created intro_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='intro_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
9.7969 	EXP 	Imported src/186c experiment survey form.csv as conditions, 4 conditions, 13 params
9.7974 	EXP 	Question text: How many languages do you know?
9.7976 	EXP 	window1: mouseVisible = True
9.7977 	EXP 	window1: mouseVisible = True
9.7980 	EXP 	window1: mouseVisible = True
9.7983 	EXP 	window1: mouseVisible = True
9.8180 	EXP 	window1: mouseVisible = True
9.8181 	EXP 	window1: mouseVisible = True
9.8184 	EXP 	window1: mouseVisible = True
9.8187 	EXP 	window1: mouseVisible = True
9.8279 	EXP 	window1: mouseVisible = True
9.8279 	EXP 	window1: mouseVisible = True
9.8282 	EXP 	window1: mouseVisible = True
9.8285 	EXP 	window1: mouseVisible = True
9.8319 	EXP 	window1: mouseVisible = True
9.8320 	EXP 	window1: mouseVisible = True
9.8323 	EXP 	window1: mouseVisible = True
9.8326 	EXP 	window1: mouseVisible = True
9.8360 	EXP 	Question text: List them, separated by comma (e.g. Chinese, English, Spanish)
9.8361 	EXP 	window1: mouseVisible = True
9.8362 	EXP 	window1: mouseVisible = True
9.8365 	EXP 	window1: mouseVisible = True
9.8368 	EXP 	window1: mouseVisible = True
9.8481 	EXP 	window1: mouseVisible = True
9.8482 	EXP 	window1: mouseVisible = True
9.8485 	EXP 	window1: mouseVisible = True
9.8488 	EXP 	window1: mouseVisible = True
9.8530 	EXP 	window1: mouseVisible = True
9.8531 	EXP 	window1: mouseVisible = True
9.8533 	EXP 	window1: mouseVisible = True
9.8536 	EXP 	window1: mouseVisible = True
9.8569 	EXP 	window1: mouseVisible = True
9.8569 	EXP 	window1: mouseVisible = True
9.8572 	EXP 	window1: mouseVisible = True
9.8575 	EXP 	window1: mouseVisible = True
9.8610 	EXP 	Question text: Please rate corresponding proficiency, separated by comma (e.g. 10, 9, 1)
9.8611 	EXP 	window1: mouseVisible = True
9.8612 	EXP 	window1: mouseVisible = True
9.8615 	EXP 	window1: mouseVisible = True
9.8618 	EXP 	window1: mouseVisible = True
9.8705 	EXP 	window1: mouseVisible = True
9.8706 	EXP 	window1: mouseVisible = True
9.8709 	EXP 	window1: mouseVisible = True
9.8712 	EXP 	window1: mouseVisible = True
9.8755 	EXP 	window1: mouseVisible = True
9.8756 	EXP 	window1: mouseVisible = True
9.8759 	EXP 	window1: mouseVisible = True
9.8762 	EXP 	window1: mouseVisible = True
9.8795 	EXP 	window1: mouseVisible = True
9.8796 	EXP 	window1: mouseVisible = True
9.8799 	EXP 	window1: mouseVisible = True
9.8802 	EXP 	window1: mouseVisible = True
9.8836 	EXP 	Question text: Provide a summed number of all the proficiencies.
